keyword,job_title,company_name,company_profile_url,location,posted_time,job_url,industry,founded
Machine Learning,Visionaries 777 Limited,Visionaries 777 Limited,,Sheung Wan,13d ago,https://hk.jobsdb.com/Visionaries-777-Limited-jobs,,
Machine Learning,SmartHire by SEEK,SmartHire by SEEK,,Science Park,23d ago,https://hk.jobsdb.com/Smarthire-by-SEEK-jobs,,
Machine Learning,SEED Foundation Limited,SEED Foundation Limited,,Hong Kong Island,2h ago,https://hk.jobsdb.com/jobs?advertiserid=61397635,,
Machine Learning,北京提加教育科技有限公司,北京提加教育科技有限公司,,Hong Kong Island,1d ago,https://hk.jobsdb.com/jobs?advertiserid=63283596,,
Machine Learning,Hong Kong Disneyland,Hong Kong Disneyland,,Islands District,2d ago,https://hk.jobsdb.com/Hong-Kong-Disneyland-Resort-jobs,,
Machine Learning,Perfect Medical Health Management Limited,Perfect Medical Health Management Limited,https://hk.jobsdb.com/companies/perfect-medical-health-management-limited-171089498780983,Mong Kok,30d+ ago,https://hk.jobsdb.com/Perfect-Medical-Health-Management-Limited-jobs,,
Machine Learning,Echo Cubes Limited,Echo Cubes Limited,,Cheung Sha Wan,1d ago,https://hk.jobsdb.com/jobs?advertiserid=62738512,,
Machine Learning,Mighty Star Technology Limited,Mighty Star Technology Limited,,Fortress Hill,21h ago,https://hk.jobsdb.com/jobs?advertiserid=63278378,,
Machine Learning,NCSI (HK) Limited,NCSI (HK) Limited,,Tai Koo,7h ago,https://hk.jobsdb.com/NCSI-Inc.-jobs,,
Machine Learning,"Huawei Tech. Investment Co., Ltd","Huawei Tech. Investment Co., Ltd",,Science Park,15d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,Automated Systems (HK) Ltd,Automated Systems (HK) Ltd,https://hk.jobsdb.com/companies/automated-systems-hk-ltd-171088624498373,Hong Kong SAR,2d ago,https://hk.jobsdb.com/Automated-Systems-(HK)-Ltd-jobs,,
Machine Learning,Hutchison Telecommunications (Hong Kong) Limited,Hutchison Telecommunications (Hong Kong) Limited,https://hk.jobsdb.com/companies/hutchison-telecommunications-171089110410285,Tsing Yi,22d ago,https://hk.jobsdb.com/Hutchison-Telecommunications-jobs,,
Machine Learning,Trinity Medical Imaging Centre Limited,Trinity Medical Imaging Centre Limited,https://hk.jobsdb.com/companies/trinity-medical-imaging-centre-171089820557944,Tsim Sha Tsui,2d ago,https://hk.jobsdb.com/Trinity-Medical-Imaging-Centre-jobs,,
Machine Learning,ADECCO,ADECCO,,Kwai Chung,6d ago,https://hk.jobsdb.com/Adecco-jobs,,
Machine Learning,Bayou Tech (Hong Kong) Limited,Bayou Tech (Hong Kong) Limited,,Wan Chai,1d ago,https://hk.jobsdb.com/jobs?advertiserid=63166398,,
Machine Learning,Michael Page International (HK) Ltd,Michael Page International (HK) Ltd,,Central and Western District,1d ago,https://hk.jobsdb.com/Michael-Page-jobs,,
Machine Learning,TRIUS Group Limited,TRIUS Group Limited,,Hong Kong Island,12d ago,https://hk.jobsdb.com/jobs?advertiserid=63193506,,
Machine Learning,Hong Kong Applied Science and Technology Research Institute Company Limited,Hong Kong Applied Science and Technology Research Institute Company Limited,,Sha Tin District,9h ago,https://hk.jobsdb.com/Hong-Kong-Applied-Science-and-Technology-Research-Institute-jobs,,
Machine Learning,Solos Technology Limited,Solos Technology Limited,https://hk.jobsdb.com/companies/solos-technology-limited-171089838183856,Sha Tin District,29d ago,https://hk.jobsdb.com/Solos-Technology-Limited-jobs,,
Machine Learning,"Huawei Tech. Investment Co., Ltd","Huawei Tech. Investment Co., Ltd",,Tsim Sha Tsui,8d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,Peoplebank Hong Kong Limited,Peoplebank Hong Kong Limited,,Kwun Tong,20d ago,https://hk.jobsdb.com/Peoplebank-jobs,,
Machine Learning,"TADWILL & CO., LIMITED","TADWILL & CO., LIMITED",,Cheung Sha Wan,20d ago,https://hk.jobsdb.com/jobs?advertiserid=63253731,,
Machine Learning,Seamatch Asia Limited,Seamatch Asia Limited,,Wan Chai,7d ago,https://hk.jobsdb.com/Seamatch-Asia-Limited-jobs,,
Machine Learning,DynaSys Solutions Limited,DynaSys Solutions Limited,,Hong Kong Island,19d ago,https://hk.jobsdb.com/DynaSys-Solutions-Limited-jobs,,
Machine Learning,"Huawei Tech. Investment Co., Ltd","Huawei Tech. Investment Co., Ltd",,Science Park,15d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,HKT,HKT,https://hk.jobsdb.com/companies/hong-kong-telecom-171816068868358,Quarry Bay,28d ago,https://hk.jobsdb.com/Hong-Kong-Telecom-jobs,,
Machine Learning,Openrice Limited,Openrice Limited,https://hk.jobsdb.com/companies/openrice-171089560190760,Quarry Bay,2d ago,https://hk.jobsdb.com/OpenRice-jobs,,
Machine Learning,Qupital Limited,Qupital Limited,,Lai Chi Kok,1d ago,https://hk.jobsdb.com/Qupital-jobs,,
Machine Learning,Robert Walters (HK) Ltd,Robert Walters (HK) Ltd,,Central and Western District,1d ago,https://hk.jobsdb.com/Robert-Walters-jobs,,
Machine Learning,Hutchison Telecommunications (Hong Kong) Limited,Hutchison Telecommunications (Hong Kong) Limited,https://hk.jobsdb.com/companies/hutchison-telecommunications-171089110410285,Tsing Yi,6d ago,https://hk.jobsdb.com/Hutchison-Telecommunications-jobs,,
Machine Learning,"Huawei Services (Hong Kong) Co., Ltd.","Huawei Services (Hong Kong) Co., Ltd.",,Tsim Sha Tsui,13d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,Mastermind Asia Limited,Mastermind Asia Limited,,Central,8h ago,https://hk.jobsdb.com/jobs?advertiserid=62999761,,
Machine Learning,Visionaries 777 Limited,Visionaries 777 Limited,,Sheung Wan,13d ago,https://hk.jobsdb.com/Visionaries-777-Limited-jobs,,
Machine Learning,SmartHire by SEEK,SmartHire by SEEK,,Science Park,23d ago,https://hk.jobsdb.com/Smarthire-by-SEEK-jobs,,
Machine Learning,SEED Foundation Limited,SEED Foundation Limited,,Hong Kong Island,2h ago,https://hk.jobsdb.com/jobs?advertiserid=61397635,,
Machine Learning,北京提加教育科技有限公司,北京提加教育科技有限公司,,Hong Kong Island,1d ago,https://hk.jobsdb.com/jobs?advertiserid=63283596,,
Machine Learning,Hong Kong Disneyland,Hong Kong Disneyland,,Islands District,2d ago,https://hk.jobsdb.com/Hong-Kong-Disneyland-Resort-jobs,,
Machine Learning,Perfect Medical Health Management Limited,Perfect Medical Health Management Limited,https://hk.jobsdb.com/companies/perfect-medical-health-management-limited-171089498780983,Mong Kok,30d+ ago,https://hk.jobsdb.com/Perfect-Medical-Health-Management-Limited-jobs,,
Machine Learning,Echo Cubes Limited,Echo Cubes Limited,,Cheung Sha Wan,1d ago,https://hk.jobsdb.com/jobs?advertiserid=62738512,,
Machine Learning,Mighty Star Technology Limited,Mighty Star Technology Limited,,Fortress Hill,22h ago,https://hk.jobsdb.com/jobs?advertiserid=63278378,,
Machine Learning,"Huawei Tech. Investment Co., Ltd","Huawei Tech. Investment Co., Ltd",,Science Park,15d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,NCSI (HK) Limited,NCSI (HK) Limited,,Tai Koo,7h ago,https://hk.jobsdb.com/NCSI-Inc.-jobs,,
Machine Learning,Automated Systems (HK) Ltd,Automated Systems (HK) Ltd,https://hk.jobsdb.com/companies/automated-systems-hk-ltd-171088624498373,Hong Kong SAR,2d ago,https://hk.jobsdb.com/Automated-Systems-(HK)-Ltd-jobs,,
Machine Learning,Hutchison Telecommunications (Hong Kong) Limited,Hutchison Telecommunications (Hong Kong) Limited,https://hk.jobsdb.com/companies/hutchison-telecommunications-171089110410285,Tsing Yi,23d ago,https://hk.jobsdb.com/Hutchison-Telecommunications-jobs,,
Machine Learning,Trinity Medical Imaging Centre Limited,Trinity Medical Imaging Centre Limited,https://hk.jobsdb.com/companies/trinity-medical-imaging-centre-171089820557944,Tsim Sha Tsui,2d ago,https://hk.jobsdb.com/Trinity-Medical-Imaging-Centre-jobs,,
Machine Learning,ADECCO,ADECCO,,Kwai Chung,6d ago,https://hk.jobsdb.com/Adecco-jobs,,
Machine Learning,Bayou Tech (Hong Kong) Limited,Bayou Tech (Hong Kong) Limited,,Wan Chai,1d ago,https://hk.jobsdb.com/jobs?advertiserid=63166398,,
Machine Learning,Michael Page International (HK) Ltd,Michael Page International (HK) Ltd,,Central and Western District,1d ago,https://hk.jobsdb.com/Michael-Page-jobs,,
Machine Learning,TRIUS Group Limited,TRIUS Group Limited,,Hong Kong Island,12d ago,https://hk.jobsdb.com/jobs?advertiserid=63193506,,
Machine Learning,Hong Kong Applied Science and Technology Research Institute Company Limited,Hong Kong Applied Science and Technology Research Institute Company Limited,,Sha Tin District,9h ago,https://hk.jobsdb.com/Hong-Kong-Applied-Science-and-Technology-Research-Institute-jobs,,
Machine Learning,Solos Technology Limited,Solos Technology Limited,https://hk.jobsdb.com/companies/solos-technology-limited-171089838183856,Sha Tin District,29d ago,https://hk.jobsdb.com/Solos-Technology-Limited-jobs,,
Machine Learning,"Huawei Tech. Investment Co., Ltd","Huawei Tech. Investment Co., Ltd",,Tsim Sha Tsui,8d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,Peoplebank Hong Kong Limited,Peoplebank Hong Kong Limited,,Kwun Tong,20d ago,https://hk.jobsdb.com/Peoplebank-jobs,,
Machine Learning,"TADWILL & CO., LIMITED","TADWILL & CO., LIMITED",,Cheung Sha Wan,20d ago,https://hk.jobsdb.com/jobs?advertiserid=63253731,,
Machine Learning,"Huawei Tech. Investment Co., Ltd","Huawei Tech. Investment Co., Ltd",,Science Park,15d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,HKT,HKT,https://hk.jobsdb.com/companies/hong-kong-telecom-171816068868358,Quarry Bay,28d ago,https://hk.jobsdb.com/Hong-Kong-Telecom-jobs,,
Machine Learning,Seamatch Asia Limited,Seamatch Asia Limited,,Wan Chai,7d ago,https://hk.jobsdb.com/Seamatch-Asia-Limited-jobs,,
Machine Learning,DynaSys Solutions Limited,DynaSys Solutions Limited,,Hong Kong Island,19d ago,https://hk.jobsdb.com/DynaSys-Solutions-Limited-jobs,,
Machine Learning,Openrice Limited,Openrice Limited,https://hk.jobsdb.com/companies/openrice-171089560190760,Quarry Bay,2d ago,https://hk.jobsdb.com/OpenRice-jobs,,
Machine Learning,Qupital Limited,Qupital Limited,,Lai Chi Kok,1d ago,https://hk.jobsdb.com/Qupital-jobs,,
Machine Learning,Hutchison Telecommunications (Hong Kong) Limited,Hutchison Telecommunications (Hong Kong) Limited,https://hk.jobsdb.com/companies/hutchison-telecommunications-171089110410285,Tsing Yi,6d ago,https://hk.jobsdb.com/Hutchison-Telecommunications-jobs,,
Machine Learning,Robert Walters (HK) Ltd,Robert Walters (HK) Ltd,,Central and Western District,1d ago,https://hk.jobsdb.com/Robert-Walters-jobs,,
Machine Learning,"Huawei Services (Hong Kong) Co., Ltd.","Huawei Services (Hong Kong) Co., Ltd.",,Tsim Sha Tsui,13d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,South China Morning Post Publishers Ltd,South China Morning Post Publishers Ltd,https://hk.jobsdb.com/companies/south-china-morning-post-171089948737522,Causeway Bay,22d ago,https://hk.jobsdb.com/South-China-Morning-Post-jobs,,
Machine Learning,SmartHire by SEEK,SmartHire by SEEK,,Science Park,23d ago,https://hk.jobsdb.com/Smarthire-by-SEEK-jobs,,
Machine Learning,北京提加教育科技有限公司,北京提加教育科技有限公司,,Hong Kong Island,1d ago,https://hk.jobsdb.com/jobs?advertiserid=63283596,,
Machine Learning,Visionaries 777 Limited,Visionaries 777 Limited,,Sheung Wan,13d ago,https://hk.jobsdb.com/Visionaries-777-Limited-jobs,,
Machine Learning,SEED Foundation Limited,SEED Foundation Limited,,Hong Kong Island,2h ago,https://hk.jobsdb.com/jobs?advertiserid=61397635,,
Machine Learning,Hong Kong Disneyland,Hong Kong Disneyland,,Islands District,2d ago,https://hk.jobsdb.com/Hong-Kong-Disneyland-Resort-jobs,,
Machine Learning,Echo Cubes Limited,Echo Cubes Limited,,Cheung Sha Wan,1d ago,https://hk.jobsdb.com/jobs?advertiserid=62738512,,
Machine Learning,Perfect Medical Health Management Limited,Perfect Medical Health Management Limited,https://hk.jobsdb.com/companies/perfect-medical-health-management-limited-171089498780983,Mong Kok,30d+ ago,https://hk.jobsdb.com/Perfect-Medical-Health-Management-Limited-jobs,,
Machine Learning,NCSI (HK) Limited,NCSI (HK) Limited,,Tai Koo,7h ago,https://hk.jobsdb.com/NCSI-Inc.-jobs,,
Machine Learning,Mighty Star Technology Limited,Mighty Star Technology Limited,,Fortress Hill,22h ago,https://hk.jobsdb.com/jobs?advertiserid=63278378,,
Machine Learning,Automated Systems (HK) Ltd,Automated Systems (HK) Ltd,https://hk.jobsdb.com/companies/automated-systems-hk-ltd-171088624498373,Hong Kong SAR,2d ago,https://hk.jobsdb.com/Automated-Systems-(HK)-Ltd-jobs,,
Machine Learning,Bayou Tech (Hong Kong) Limited,Bayou Tech (Hong Kong) Limited,,Wan Chai,1d ago,https://hk.jobsdb.com/jobs?advertiserid=63166398,,
Machine Learning,"Huawei Tech. Investment Co., Ltd","Huawei Tech. Investment Co., Ltd",,Science Park,15d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,Michael Page International (HK) Ltd,Michael Page International (HK) Ltd,,Central and Western District,1d ago,https://hk.jobsdb.com/Michael-Page-jobs,,
Machine Learning,Hutchison Telecommunications (Hong Kong) Limited,Hutchison Telecommunications (Hong Kong) Limited,https://hk.jobsdb.com/companies/hutchison-telecommunications-171089110410285,Tsing Yi,23d ago,https://hk.jobsdb.com/Hutchison-Telecommunications-jobs,,
Machine Learning,ADECCO,ADECCO,,Kwai Chung,6d ago,https://hk.jobsdb.com/Adecco-jobs,,
Machine Learning,Trinity Medical Imaging Centre Limited,Trinity Medical Imaging Centre Limited,https://hk.jobsdb.com/companies/trinity-medical-imaging-centre-171089820557944,Tsim Sha Tsui,2d ago,https://hk.jobsdb.com/Trinity-Medical-Imaging-Centre-jobs,,
Machine Learning,TRIUS Group Limited,TRIUS Group Limited,,Hong Kong Island,12d ago,https://hk.jobsdb.com/jobs?advertiserid=63193506,,
Machine Learning,Solos Technology Limited,Solos Technology Limited,https://hk.jobsdb.com/companies/solos-technology-limited-171089838183856,Sha Tin District,29d ago,https://hk.jobsdb.com/Solos-Technology-Limited-jobs,,
Machine Learning,Hong Kong Applied Science and Technology Research Institute Company Limited,Hong Kong Applied Science and Technology Research Institute Company Limited,,Sha Tin District,9h ago,https://hk.jobsdb.com/Hong-Kong-Applied-Science-and-Technology-Research-Institute-jobs,,
Machine Learning,Peoplebank Hong Kong Limited,Peoplebank Hong Kong Limited,,Kwun Tong,20d ago,https://hk.jobsdb.com/Peoplebank-jobs,,
Machine Learning,"TADWILL & CO., LIMITED","TADWILL & CO., LIMITED",,Cheung Sha Wan,20d ago,https://hk.jobsdb.com/jobs?advertiserid=63253731,,
Machine Learning,Seamatch Asia Limited,Seamatch Asia Limited,,Wan Chai,7d ago,https://hk.jobsdb.com/Seamatch-Asia-Limited-jobs,,
Machine Learning,DynaSys Solutions Limited,DynaSys Solutions Limited,,Hong Kong Island,19d ago,https://hk.jobsdb.com/DynaSys-Solutions-Limited-jobs,,
Machine Learning,"Huawei Tech. Investment Co., Ltd","Huawei Tech. Investment Co., Ltd",,Tsim Sha Tsui,8d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,Robert Walters (HK) Ltd,Robert Walters (HK) Ltd,,Central and Western District,1d ago,https://hk.jobsdb.com/Robert-Walters-jobs,,
Machine Learning,South China Morning Post Publishers Ltd,South China Morning Post Publishers Ltd,https://hk.jobsdb.com/companies/south-china-morning-post-171089948737522,Causeway Bay,22d ago,https://hk.jobsdb.com/South-China-Morning-Post-jobs,,
Machine Learning,"Huawei Tech. Investment Co., Ltd","Huawei Tech. Investment Co., Ltd",,Science Park,15d ago,https://hk.jobsdb.com/Huawei-Technologies-jobs,,
Machine Learning,HKT,HKT,https://hk.jobsdb.com/companies/hong-kong-telecom-171816068868358,Quarry Bay,28d ago,https://hk.jobsdb.com/Hong-Kong-Telecom-jobs,,
Machine Learning,Pathsight Limited,Pathsight Limited,,Hong Kong SAR,3d ago,https://hk.jobsdb.com/Pathsight-Limited-jobs,,
Machine Learning,Openrice Limited,Openrice Limited,https://hk.jobsdb.com/companies/openrice-171089560190760,Quarry Bay,2d ago,https://hk.jobsdb.com/OpenRice-jobs,,
Machine Learning,Leading Edge Group Limited,Leading Edge Group Limited,https://hk.jobsdb.com/companies/leading-edge-group-171089816928050,Tsim Sha Tsui,2d ago,https://hk.jobsdb.com/Leading-Edge-Group-jobs,,
Machine Learning,Superior Autonomation Limited,Superior Autonomation Limited,,Sha Tin District,9d ago,https://hk.jobsdb.com/Superior-Autonomation-jobs,,
